Distance from 0: to 1  = 25.0
Distance from 1: to 2  = 14.142135623730951
Distance from 2: to 3  = 45.967379738244816
Distance from 3: to 4  = 35.4400902933387
Distance from 4: to 5  = 46.61544808322666
Distance from 5: to 6  = 41.88078318274385
Distance from 6: to 7  = 81.70679286326198
Distance from 7: to 8  = 78.39005038906404
Distance from 8: to 9  = 62.76941930590086
Distance from 9: to 10  = 76.96752561957543
Distance from 10: to 11  = 67.0
Distance from 11: to 12  = 54.91812087098393
Distance from 12: to 13  = 27.294688127912362
Distance from 13: to 14  = 74.10802925459562
Distance from 14: to 15  = 81.6333265278342
Distance from 15: to 16  = 68.8839603971781
Distance from 16: to 17  = 54.0
Distance from 17: to 18  = 53.150729063673246
Distance from 18: to 19  = 65.45991139621256
Distance from 19: to 20  = 16.492422502470642
